

| score|   percent|
|-----:|---------:|
|     0| 0.0000000|
|     1| 0.0000000|
|     2| 0.6829202|
|     3| 0.8619581|
|     4| 0.9310143|
|     5| 0.9617953|
|     6| 0.9776193|
|     7| 0.9857905|
|     8| 0.9903589|
|     9| 0.9931521|
|    10| 0.9950165|
|    11| 0.9962196|
|    12| 0.9970396|
|    13| 0.9976811|
|    14| 0.9981469|
|    15| 0.9984775|
