

| score|  percent|
|-----:|--------:|
|     0|  0.00000|
|     1|  0.00000|
|     2| 68.85959|
|     3| 86.71090|
|     4| 93.51361|
|     5| 96.48836|
|     6| 98.00906|
|     7| 98.77688|
|     8| 99.18916|
|     9| 99.44002|
|    10| 99.60253|
|    11| 99.70601|
|    12| 99.77180|
|    13| 99.82583|
|    14| 99.86461|
|    15| 99.89227|
